Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2	lnL
1	0.9767110	0.5966718	0.2416109	0.5963517	0.5410263	0.0589505	0.0581396	0.9766035	0.9521867	0.7555866	0.6340154	0.3536452	0.3117718	0.1853279	0.9753657	0.8267335	0.7950673	0.6703935	0.5930447	0.5289978	0.4712156	0.1832232	0.1048776	0.6550413	0.6020949	0.4064241	0.5405878	0.2588988	0.2953338	0.1633630	0.1221244	-24.526
2	0.9767110	0.6286374	0.2416109	0.5883986	0.5410263	0.0589505	0.0581396	0.9755141	0.9521867	0.7358130	0.6340154	0.3536452	0.3117718	0.1417950	0.9753657	0.8267335	0.7950673	0.6475607	0.6099969	0.5274611	0.4678291	0.1832232	0.0449898	0.6550413	0.6170536	0.4064241	0.6010544	0.2588988	0.2953338	0.1633630	0.1221244	-23.855
4	0.9767110	0.6642885	0.2416109	0.6113902	0.5410263	0.0589505	0.0581396	0.9756715	0.9521867	0.6870066	0.5993307	0.2996966	0.4089130	0.1628117	0.9383489	0.8687504	0.7970352	0.6142597	0.5821272	0.5240266	0.3538450	0.1389644	0.0449898	0.6550413	0.6208976	0.3808058	0.6010544	0.2588988	0.2953338	0.1748392	0.1221244	-20.937
6	0.9767110	0.6430983	0.2416109	0.6275805	0.5410263	0.0870929	0.0229747	0.9715588	0.9521867	0.7691790	0.7195948	0.2996966	0.4089130	0.1815052	0.8748872	0.8423345	0.7732290	0.6395654	0.5408708	0.4375243	0.2879904	0.1389644	0.0316008	0.6550413	0.6019225	0.4728967	0.6010544	0.2588988	0.3633116	0.1748392	0.1812346	-18.797
8	0.9311323	0.6171261	0.2303361	0.5990921	0.4504741	0.0830287	0.0219026	0.9078322	0.8447980	0.7688686	0.6622401	0.3373535	0.3140217	0.1730352	0.9060231	0.7614724	0.7371460	0.5325041	0.5156308	0.4171071	0.2745512	0.0967127	0.0215798	0.6231549	0.6098814	0.4508288	0.5788917	0.2990987	0.3463575	0.1833976	0.1162158	-20.219
10	0.9398765	0.6336505	0.2303361	0.5990921	0.3054529	0.0830287	0.0219026	0.8922680	0.8903605	0.6782864	0.5236390	0.3373535	0.3593668	0.1730352	0.8662153	0.7835584	0.6608283	0.6049519	0.5229947	0.5199745	0.2742366	0.0967127	0.0488383	0.6417934	0.5995308	0.4494845	0.5788917	0.2990987	0.3463575	0.1580144	0.0910114	-26.988
12	0.9666922	0.6285050	0.3001358	0.5990921	0.3702480	0.1146618	0.0616371	0.9275816	0.8903605	0.6982491	0.6656699	0.3970511	0.3228462	0.1730352	0.8464595	0.8158354	0.7510246	0.5552197	0.5256403	0.4674048	0.3028192	0.0967127	0.0768593	0.6417934	0.6166317	0.3761448	0.4667676	0.2851097	0.3463575	0.1738914	0.1562138	-25.877
14	0.9420574	0.6285050	0.3001358	0.5917516	0.3702480	0.1146618	0.0616371	0.9249246	0.8322255	0.7009513	0.6354630	0.3970511	0.3228462	0.1730352	0.8434967	0.7721168	0.7528673	0.7175033	0.5953862	0.3980041	0.3028192	0.1333995	0.0768593	0.6417934	0.6187250	0.5025548	0.6065041	0.2851097	0.3463575	0.1738914	0.1134494	-21.513
16	0.9767877	0.6909959	0.3295357	0.5600375	0.5110794	0.1881723	0.0691893	0.9593542	0.9341959	0.7971352	0.7133246	0.4457007	0.3340106	0.1942367	0.9028582	0.8869143	0.8196714	0.8022215	0.6954949	0.5232072	0.4272013	0.1534139	0.0862767	0.7204307	0.7153853	0.5641315	0.5851703	0.3200434	0.3887958	0.1325530	0.1123079	-19.204
18	0.9767877	0.6198324	0.3295357	0.5558063	0.4152578	0.1581458	0.0691893	0.9314211	0.9025191	0.7765191	0.7133246	0.4457007	0.3340106	0.1942367	0.9236786	0.8904009	0.8570796	0.7456272	0.7324842	0.5232072	0.4731030	0.2284710	0.2029146	0.7204307	0.7086261	0.5641315	0.6819784	0.3200434	0.3887958	0.1325530	0.1123079	-21.013
20	0.9458160	0.5862414	0.1969851	0.5224871	0.4152578	0.0309974	0.0036393	0.9056447	0.8352310	0.6843627	0.6769763	0.4457007	0.3340106	0.2347204	0.9051494	0.9036372	0.8262428	0.8246768	0.6524874	0.5276228	0.4729447	0.2944484	0.0882958	0.7204307	0.7086261	0.5641315	0.6819784	0.2146449	0.3887958	0.1325530	0.0990822	-16.936
22	0.9247619	0.5862414	0.1969851	0.4420065	0.4152578	0.0309974	0.0036393	0.9121412	0.8745596	0.7377370	0.6954239	0.4457007	0.3340106	0.2347204	0.9087066	0.8974627	0.8262428	0.8256837	0.6170932	0.5479865	0.4729447	0.2944484	0.0882958	0.7204307	0.6926018	0.5528727	0.6178592	0.2146449	0.3887958	0.1325530	0.0990822	-16.538
24	0.9247619	0.5293946	0.1969851	0.4420065	0.4099899	0.0908916	0.0362200	0.9159858	0.8455900	0.7258273	0.6954239	0.2020747	0.3340106	0.2347204	0.9159576	0.8707734	0.8262428	0.7121228	0.6586708	0.5823437	0.4765279	0.2944484	0.0882958	0.7108052	0.6583235	0.5822345	0.6178592	0.2532583	0.2558197	0.1325530	0.0929003	-21.239
26	0.9247619	0.4905551	0.1969851	0.4684978	0.4099899	0.0822296	0.0185825	0.9043919	0.8705034	0.7258273	0.5925268	0.2433797	0.4275138	0.2043739	0.9041273	0.8524887	0.8124761	0.7015936	0.6318161	0.5773980	0.3709970	0.2140825	0.0352411	0.7108052	0.6870473	0.4751901	0.6146971	0.2508580	0.2558197	0.1325530	0.0703414	-19.094
28	0.9247619	0.4570829	0.1969851	0.4408211	0.4099899	0.0242713	0.0185825	0.8998079	0.8480895	0.7258273	0.7142026	0.2433797	0.4275138	0.2126877	0.8867712	0.8423995	0.8007871	0.7688235	0.6787530	0.5773980	0.3709970	0.2140825	0.0451126	0.7108052	0.5919478	0.4751901	0.5325931	0.2508580	0.2558197	0.1325530	0.0703414	-26.780
30	0.9067455	0.4570829	0.2247967	0.4459318	0.3263667	0.0242713	0.0185825	0.8878716	0.8591006	0.7942840	0.6909396	0.2433797	0.4275138	0.2754309	0.8760397	0.8641142	0.8405282	0.8133858	0.5975156	0.5773980	0.4158644	0.2140825	0.0451126	0.6557260	0.5639731	0.4031111	0.5325931	0.2508580	0.2558197	0.1293394	0.0712830	-22.977
32	0.7350089	0.4017431	0.1829134	0.3628473	0.2655592	0.1179322	0.0117679	0.7118346	0.6990360	0.6501086	0.5951579	0.1859535	0.3203129	0.2734295	0.6953129	0.6931629	0.6839239	0.6583017	0.4958127	0.3728276	0.3258784	0.1741954	0.0156642	0.4656335	0.4468147	0.2762024	0.4333622	0.2041190	0.2081563	0.1589555	0.0712830	-30.244
34	0.7033829	0.3679588	0.1204648	0.3411127	0.2781150	0.0336613	0.0117679	0.6994904	0.6890265	0.6028929	0.4556060	0.1859535	0.3203129	0.2734295	0.6952478	0.6898751	0.6585819	0.5732025	0.4661510	0.4239536	0.3258784	0.1741954	0.0332281	0.4656335	0.4383209	0.2360581	0.4333622	0.2041190	0.2081563	0.1589555	0.0712830	-28.895
36	0.8647119	0.4757812	0.1977141	0.4682338	0.4166274	0.1073349	0.0219027	0.8564303	0.8241181	0.7247463	0.6216122	0.2286041	0.3711741	0.3361437	0.8516235	0.8485137	0.7739595	0.6574848	0.5730681	0.5211923	0.4006224	0.1516901	0.0408493	0.6463006	0.5751460	0.2902008	0.5327588	0.2509361	0.3601249	0.1292992	0.0858803	-29.578
38	0.7664583	0.4235437	0.1672609	0.3974051	0.2653261	0.0115044	0.0028103	0.7285436	0.6796971	0.6131162	0.5240469	0.2977842	0.3175978	0.2843687	0.7118200	0.7021329	0.6278645	0.4929457	0.4531325	0.4253835	0.3389159	0.1283258	0.0345574	0.5467532	0.4959849	0.1904668	0.4608546	0.2122853	0.1978893	0.1528407	0.0858803	-31.305
40	0.9746729	0.5357860	0.2145497	0.4400839	0.4334868	0.1088458	0.0025838	0.9516797	0.8718643	0.7864593	0.7126931	0.5481799	0.4073906	0.3526197	0.9166347	0.8714090	0.7254701	0.6451628	0.5889203	0.4466627	0.4440439	0.1646067	0.0443277	0.7013339	0.6488859	0.2919678	0.5911496	0.1617014	0.2201932	0.1191532	0.0656345	-40.014
42	0.9746729	0.6032698	0.1631212	0.5650125	0.4039660	0.1074785	0.0375671	0.9381803	0.8663903	0.7864593	0.7126931	0.4145546	0.4112330	0.2798437	0.8971726	0.8665072	0.7204660	0.6776631	0.6498829	0.4576084	0.4440439	0.2653251	0.1117115	0.7277107	0.6488859	0.3491301	0.6484845	0.2084797	0.2402960	0.1191532	0.0656345	-31.828
44	0.9746729	0.5673310	0.0774395	0.5653807	0.5179066	0.1074785	0.0375671	0.9342005	0.8663903	0.7145310	0.6443814	0.4145546	0.5027641	0.2798437	0.9291580	0.8785544	0.6843972	0.6659588	0.4908266	0.4491336	0.3769113	0.2653251	0.1027853	0.7200173	0.6731846	0.3036113	0.6649805	0.2084797	0.3013587	0.1351872	0.0656345	-26.832
46	0.9647709	0.5680876	0.0774395	0.5421616	0.5179066	0.0573249	0.0053661	0.9518039	0.8663903	0.6965708	0.6161124	0.4191355	0.5027641	0.2798437	0.8911011	0.8126403	0.6938498	0.6642819	0.4901292	0.4491336	0.3715061	0.2653251	0.1027853	0.7200173	0.6969814	0.4171147	0.6649805	0.2084797	0.3013587	0.1351872	0.0656345	-24.414
48	0.9760437	0.5501267	0.1030329	0.5327002	0.5179066	0.0111240	0.0053661	0.9111642	0.8551670	0.7523013	0.6161124	0.4191355	0.4032658	0.2447871	0.8679792	0.8126403	0.7367132	0.6570786	0.4907944	0.4399057	0.3715061	0.2653251	0.1027853	0.7200173	0.7013448	0.4171147	0.6649805	0.1874344	0.3896287	0.1351872	0.0656345	-31.291
50	0.9098205	0.5501267	0.0831322	0.5496289	0.5258487	0.0111240	0.0031200	0.8761061	0.8551670	0.8361311	0.7281503	0.4191355	0.4032658	0.3233973	0.8668010	0.8356805	0.6958030	0.6570786	0.5206244	0.4011978	0.3715061	0.2653251	0.1108333	0.6869230	0.6752624	0.4171147	0.6649805	0.1874344	0.4877968	0.1351872	0.0656345	-32.414
52	0.8898956	0.5501267	0.1300985	0.5451484	0.5258487	0.0549550	0.0164423	0.8721891	0.8690367	0.7549988	0.7281503	0.4191355	0.4032658	0.2849150	0.8578060	0.7456589	0.6629384	0.6271195	0.5206244	0.4954314	0.4093792	0.2653251	0.1108333	0.6753902	0.6710016	0.4265654	0.6649805	0.1874344	0.3310944	0.1351872	0.0656345	-28.240
54	0.7495342	0.4633563	0.1279324	0.4596023	0.4429076	0.0462871	0.0241490	0.7349034	0.7319653	0.6359144	0.4448431	0.3530261	0.3396595	0.2399759	0.6994974	0.6230213	0.5709264	0.5359895	0.4407107	0.4067069	0.3448086	0.2002033	0.0299090	0.5890177	0.5879533	0.4399269	0.5600945	0.2106509	0.2788715	0.1605031	0.0551057	-30.471
56	0.8019733	0.4912931	0.0874884	0.4561188	0.4429076	0.1137382	0.0030300	0.7535137	0.7319653	0.5735284	0.4583922	0.3300258	0.2855140	0.2015512	0.6693036	0.6648509	0.5709264	0.5014627	0.4990892	0.4375635	0.3583285	0.1869535	0.1000882	0.6287569	0.6004783	0.2389581	0.5262587	0.2106509	0.2788715	0.1605031	0.0724576	-32.668
58	0.8019733	0.4634723	0.1146635	0.4616337	0.3540873	0.0305527	0.0030300	0.7611062	0.7131177	0.5040990	0.4920247	0.3300258	0.2855140	0.2281738	0.6872343	0.6844423	0.5949195	0.5257269	0.4463588	0.3698059	0.3031477	0.1739397	0.1364420	0.6154550	0.5582202	0.3124454	0.5306795	0.2106509	0.2788715	0.1605031	0.0724576	-21.645
60	0.9767259	0.5633822	0.1393813	0.5444585	0.5208500	0.0614529	0.0216180	0.9458393	0.9013451	0.6410628	0.5980896	0.2730010	0.3470617	0.2818966	0.9432365	0.8313461	0.7624997	0.6663512	0.6194281	0.6028424	0.3684967	0.2114356	0.1658546	0.7246657	0.6594219	0.3797987	0.6450771	0.2560606	0.4230616	0.1301735	0.0724576	-24.627
62	0.9502144	0.5562723	0.1907916	0.5539365	0.4301488	0.0376814	0.0216180	0.9335942	0.9013451	0.6410628	0.4682122	0.1418893	0.3470617	0.2127954	0.9110840	0.8572799	0.8199649	0.6935237	0.6015895	0.4977597	0.3684967	0.2114356	0.1752031	0.7152761	0.6944372	0.3014823	0.6450771	0.2560606	0.2919376	0.1301735	0.0724576	-20.187
64	0.9663099	0.5562723	0.1708626	0.5158408	0.4837771	0.0376814	0.0216180	0.9564541	0.8918679	0.6061389	0.4682122	0.1418893	0.3470617	0.2127954	0.9215555	0.8825473	0.7234041	0.6981155	0.6737981	0.5431517	0.4457285	0.2114356	0.1752031	0.7152761	0.6944372	0.3014823	0.6450771	0.2560606	0.2778477	0.1301735	0.0724576	-28.441
